datetime,demand_kwh,temperature,hour,day_of_week,month,day_of_year,is_weekend,is_peak,hour_sin,hour_cos,month_sin,month_cos,dow_sin,dow_cos,lag_1h,lag_24h,lag_168h,rolling_mean_24h
2023-01-08 00:00:00,128.64164319408079,2.425902770859936,0,6,1,8,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,108.6880406984631,121.99508909485093,131.05789351818925,157.71152359802528
2023-01-08 01:00:00,143.68419472856291,-0.1158374709131591,1,6,1,8,1,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,128.64164319408079,96.55103617971969,115.28787030068284,159.67540520422708
2023-01-08 02:00:00,137.82349233698665,-0.7947287972533275,2,6,1,8,1,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,143.68419472856291,157.69405527392894,92.39260845725681,158.8474650818545
2023-01-08 03:00:00,143.49999327799026,-0.4262080739529033,3,6,1,8,1,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,137.82349233698665,139.15162813933682,94.66661802150198,159.0286469626317
2023-01-08 04:00:00,132.38085876627557,3.2673348038037675,4,6,1,8,1,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,143.49999327799026,123.00920976015665,136.65157358534944,159.41913233788668
2023-01-08 05:00:00,126.39035755621526,5.358603224957508,5,6,1,8,1,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,132.38085876627557,144.38616748475107,147.29875849786274,158.66930692419766
2023-01-08 06:00:00,161.9018192089878,5.036297347524384,6,6,1,8,1,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,126.39035755621526,147.67173631896702,140.24700211635178,159.2622270446152
2023-01-08 07:00:00,159.14765216569197,7.788759596054407,7,6,1,8,1,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,161.9018192089878,163.6305758374529,164.2149207118885,159.07543855829184
2023-01-08 08:00:00,184.66048925703018,3.7178528102638237,8,6,1,8,1,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,159.14765216569197,209.82136363561338,208.34356535970346,158.02706879251753
2023-01-08 09:00:00,194.43700430897385,10.920513736660872,9,6,1,8,1,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,184.66048925703018,200.9577174443199,199.20911252024428,157.7553724118781
2023-01-08 10:00:00,217.23231124429017,2.3295591846845083,10,6,1,8,1,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,194.43700430897385,197.176402771739,214.8972463268443,158.59103526490108
2023-01-08 11:00:00,168.25970456599848,17.25368918382238,11,6,1,8,1,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,217.23231124429017,223.90267917437637,230.06783224940045,156.272577989552
2023-01-08 12:00:00,191.06068012984113,6.781180089699319,12,6,1,8,1,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,168.25970456599848,178.29689988079113,179.83209074526553,156.80440216659576
2023-01-08 13:00:00,221.37518834989322,-0.6329444312071244,13,6,1,8,1,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,191.06068012984113,164.78527840750655,237.14069533528433,159.16231508086187
2023-01-08 14:00:00,196.52939082318144,-1.7016191394312727,14,6,1,8,1,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,221.37518834989322,184.02153609400276,229.88315200401513,159.68347569457765
2023-01-08 15:00:00,155.17568647581248,6.0652054270902145,15,6,1,8,1,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,196.52939082318144,155.78909338318354,165.2590605406462,159.65791707343718
2023-01-08 16:00:00,155.9363519343762,2.535529424245034,16,6,1,8,1,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,155.17568647581248,201.6101737723959,183.3285419408938,157.7548411635197
2023-01-08 17:00:00,140.99295005004132,7.222845821334749,17,6,1,8,1,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,155.9363519343762,144.74563422315194,165.09208573379584,157.59847932297342
2023-01-08 18:00:00,148.72875240501074,6.019031473742013,18,6,1,8,1,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,140.99295005004132,122.88811810440455,198.034671132087,158.675172418832
2023-01-08 19:00:00,168.4547403565108,3.288698787589925,19,6,1,8,1,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,148.72875240501074,184.24405730649147,199.5896889431707,158.0172842125828
2023-01-08 20:00:00,189.36827437071707,-0.5811252394677364,20,6,1,8,1,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,168.4547403565108,129.78136433559078,125.06452041532725,160.50007213071308
2023-01-08 21:00:00,204.80658022677883,-3.921392772555034,21,6,1,8,1,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,189.36827437071707,157.62632266374692,177.75218606662105,162.4659161958394
2023-01-08 22:00:00,167.42936488377882,1.420268590539183,22,6,1,8,1,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,204.80658022677883,120.00583226843538,165.24865563752005,164.4418967214787
2023-01-08 23:00:00,110.05514764389758,7.93483732249165,23,6,1,8,1,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,167.42936488377882,108.6880406984631,168.7559201482869,164.49885951087182
2023-01-09 00:00:00,177.63089079776614,4.792196025348275,0,0,1,9,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,110.05514764389758,128.64164319408079,195.16640043756024,166.54007816102538
2023-01-09 01:00:00,209.06952394292304,-2.506966588862685,1,0,1,9,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,177.63089079776614,143.68419472856291,184.09769610251178,169.2644668782904
2023-01-09 02:00:00,171.9147062036983,4.5876319339531655,2,0,1,9,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,209.06952394292304,137.82349233698665,215.363144394719,170.68493412273668
2023-01-09 03:00:00,182.02951043433592,5.648314203341439,3,0,1,9,0,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.0,1.0,171.9147062036983,143.49999327799026,169.9996240675557,172.29033067091777
2023-01-09 04:00:00,200.51444341924258,-0.6975598763084099,4,0,1,9,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,182.02951043433592,132.38085876627557,213.08436618619933,175.12923003145806
2023-01-09 05:00:00,197.1860559750113,4.490352834424895,5,0,1,9,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,0.0,1.0,200.51444341924258,126.39035755621526,206.02237513747696,178.0790507989079
2023-01-09 06:00:00,230.44278247942262,4.012770896927255,6,0,1,9,0,1,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,0.0,1.0,197.1860559750113,161.9018192089878,217.49169812909204,180.93492426850935
2023-01-09 07:00:00,265.70795951230724,-1.9931241844558603,7,0,1,9,0,1,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,230.44278247942262,159.14765216569197,203.67550213349895,185.3749370746183
2023-01-09 08:00:00,250.347886023842,5.510664106438671,8,0,1,9,0,1,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,0.0,1.0,265.70795951230724,184.66048925703018,256.8862289733625,188.11191193990214
2023-01-09 09:00:00,248.16607530554364,6.525649936538427,9,0,1,9,0,1,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,0.0,1.0,250.347886023842,194.43700430897385,288.49354587462386,190.35062323142589
2023-01-09 10:00:00,241.1607271415193,9.13698352057364,10,0,1,9,0,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,0.0,1.0,248.16607530554364,217.23231124429017,234.7475835641418,191.3476405604771
2023-01-09 11:00:00,232.7159035081362,8.99073756487177,11,0,1,9,0,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,0.0,1.0,241.1607271415193,168.25970456599848,274.9383450932539,194.0333155163995
2023-01-09 12:00:00,293.48029438464295,-3.1666195350882003,12,0,1,9,0,0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,0.0,1.0,232.7159035081362,191.06068012984113,243.2334908952966,198.3007994436829
2023-01-09 13:00:00,249.34074217091785,-0.9673978948783581,13,0,1,9,0,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,0.0,1.0,293.48029438464295,221.37518834989322,300.5420544162583,199.46603085289226
2023-01-09 14:00:00,214.5191577321746,6.296903640740554,14,0,1,9,0,0,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,0.0,1.0,249.34074217091785,196.52939082318144,278.02284846853644,200.21560447410033
2023-01-09 15:00:00,213.7021868881664,6.290657059258299,15,0,1,9,0,0,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,0.0,1.0,214.5191577321746,155.17568647581248,231.76477519434735,202.6542086579484
2023-01-09 16:00:00,212.5081577051541,6.296965736227495,16,0,1,9,0,0,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,0.0,1.0,213.7021868881664,155.9363519343762,194.65470088703495,205.01136723173082
2023-01-09 17:00:00,203.67063956253233,22.985384757970863,17,0,1,9,0,1,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,0.0,1.0,212.5081577051541,140.99295005004132,205.53926990111722,207.6229376280846
2023-01-09 18:00:00,204.18539602244718,6.576179858163091,18,0,1,9,0,1,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,0.0,1.0,203.67063956253233,148.72875240501074,231.45352202359945,209.93363111214444
2023-01-09 19:00:00,211.00901071945026,9.39955550560025,19,0,1,9,0,1,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,0.0,1.0,204.18539602244718,168.4547403565108,239.70998996673032,211.70672571060027
2023-01-09 20:00:00,194.24813118019412,8.491736122163267,20,0,1,9,0,1,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.0,1.0,211.00901071945026,189.36827437071707,266.8812227009739,211.9100530776618
2023-01-09 21:00:00,218.15638485563719,6.978683561226245,21,0,1,9,0,1,-0.7071067811865477,0.7071067811865474,0.49999999999999994,0.8660254037844387,0.0,1.0,194.24813118019412,204.80658022677883,220.23823784598812,212.46629493719755
2023-01-09 22:00:00,229.7640538035801,2.145381081495527,22,0,1,9,0,0,-0.5000000000000004,0.8660254037844384,0.49999999999999994,0.8660254037844387,0.0,1.0,218.15638485563719,167.42936488377882,217.7828382014101,215.06357364218925
2023-01-09 23:00:00,175.28131436110615,7.516573407163593,23,0,1,9,0,0,-0.25881904510252157,0.9659258262890681,0.49999999999999994,0.8660254037844387,0.0,1.0,229.7640538035801,110.05514764389758,177.89325046708973,217.78133058873968
2023-01-10 00:00:00,214.57433182647395,-0.07017281856296176,0,1,1,10,0,0,0.0,1.0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,175.28131436110615,177.63089079776614,189.70949139745937,219.3206406316025
2023-01-10 01:00:00,188.6136411150227,2.609860220424853,1,1,1,10,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,214.57433182647395,209.06952394292304,236.19906941178783,218.46831218043997
2023-01-10 02:00:00,197.27197353377207,1.3671355149793798,2,1,1,10,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,188.6136411150227,171.9147062036983,173.46693248909523,219.5248649858597
2023-01-10 03:00:00,176.69053628592883,4.20332395105651,3,1,1,10,0,0,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,197.27197353377207,182.02951043433592,195.1494583305605,219.30240772967605
